Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,6000038241,,,,6000038241,,946880537,,,0
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,32,Argentina,ARG,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,118222000,,,,118222000,,15074104,,,0
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,36,Australia,AUS,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,25652320,,,,25652320,,5102503,,,0
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,88438942,,,,88438942,,10661013,,,0
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,124,Canada,CAN,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,1153583587,,,,1153583587,,230511620,,,0
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,191,Croatia,HRV,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,25887000,,,,25887000,,3373601,,,0
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,251,France,FRA,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,913001075,,,,913001075,,122876469,,,0
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,276,Germany,DEU,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,942705830,,,,942705830,,125043351,,,0
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,300,Greece,GRC,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,98253030,,,,98253030,,19504880,,,0
H2,2002,2002,2002,4,0,1,Import,12,Algeria,DZA,348,Hungary,HUN,,,,,,,,1001,Wheat and meslin.,8,Weight in kilograms,13380400,,,,13380400,,1725602,,,0
