Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,180373174,,,,180373174,,21853563,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,30446790,,,,30446790,,3442577,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,191,Croatia,HRV,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,25043250,,,,25043250,,3286205,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,251,France,FRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,16443322,,,,16443322,,1941235,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,300,Greece,GRC,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,38670,,,,38670,,5728,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,348,Hungary,HUN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,22280928,,,,22280928,,2725433,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,268110,,,,268110,,49983,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,9294318,,,,9294318,,1030095,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,792,Turkey,TUR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,43471796,,,,43471796,,6106308,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,64790,,,,64790,,8371,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,826,United Kingdom,GBR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,11518700,,,,11518700,,829354,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,842,USA,USA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,21500000,,,,21500000,,2428011,,,0
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,891,Serbia and Montenegro,SCG,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2500,,,,2500,,264,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4537999587,,,,4537999587,,723130843,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,32,Argentina,ARG,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,229798450,,,,229798450,,34476459,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,36,Australia,AUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,62400000,,,,62400000,,12359901,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,124,Canada,CAN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,814822578,,,,814822578,,166177115,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,191,Croatia,HRV,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,16500000,,,,16500000,,2125390,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,251,France,FRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,941930498,,,,941930498,,126881300,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,276,Germany,DEU,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1391932381,,,,1391932381,,195562123,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,300,Greece,GRC,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,101462755,,,,101462755,,18849138,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,348,Hungary,HUN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,10588270,,,,10588270,,1331560,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,381,Italy,ITA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,60185000,,,,60185000,,10889945,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,440,Lithuania,LTU,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,10204180,,,,10204180,,1370701,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,484,Mexico,MEX,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,401259355,,,,401259355,,74903473,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,642,Romania,ROU,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,12933307,,,,12933307,,1664734,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,643,Russian Federation,RUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,129876899,,,,129876899,,16372038,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,703,Slovakia,SVK,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2744407,,,,2744407,,276709,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,724,Spain,ESP,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,44619471,,,,44619471,,7568063,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,752,Sweden,SWE,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,23262205,,,,23262205,,3242645,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,760,Syria,SYR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,40346096,,,,40346096,,8010631,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,784,United Arab Emirates,ARE,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,13511408,,,,13511408,,1712784,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,792,Turkey,TUR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,84278168,,,,84278168,,14627323,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,804,Ukraine,UKR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,49134205,,,,49134205,,6244639,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,807,North Macedonia,MKD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,7350000,,,,7350000,,973414,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,16108580,,,,16108580,,2087688,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,842,USA,USA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,72751374,,,,72751374,,15423071,,,0
H1,2001,2001,2001,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,107330,,,,107330,,17090,,,0
H1,2001,2001,2001,4,0,1,Import,20,Andorra,AND,724,Spain,ESP,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,107330,,,,107330,,17090,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,615140498,,,,615140498,,69410888,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,364,Iran,IRN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,85200,,,,85200,,8520,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,398,Kazakhstan,KAZ,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,473053108,,,,473053108,,53543596,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,128856428,,,,128856428,,14172283,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,12456862,,,,12456862,,1599311,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,688900,,,,688900,,87177,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,142366,,,,142366,,73931,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,10789975557,,,,10789975557,,1301503366,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,12,Algeria,DZA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,292701000,,,,292701000,,32114085,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,50,Bangladesh,BGD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,5300000,,,,5300000,,646600,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,56,Belgium,BEL,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,393000,,,,393000,,95940,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,184738080,,,,184738080,,20680477,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,76,Brazil,BRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,6652814321,,,,6652814321,,817856898,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,124,Canada,CAN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,8000,,,,8000,,5716,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,152,Chile,CHL,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,37053875,,,,37053875,,4581076,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,170,Colombia,COL,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,5150000,,,,5150000,,581950,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,218,Ecuador,ECU,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,24260000,,,,24260000,,2914180,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,251,France,FRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,48917,,,,48917,,36391,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,251,France,FRA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,163173,,,,163173,,41006,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,276,Germany,DEU,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2,,,,2,,26,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,276,Germany,DEU,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,248521,,,,248521,,56025,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,332,Haiti,HTI,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,17100000,,,,17100000,,1905381,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,360,Indonesia,IDN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,60500000,,,,60500000,,6588451,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,364,Iran,IRN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1315406000,,,,1315406000,,152678908,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,368,Iraq,IRQ,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,361542470,,,,361542470,,42925057,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,381,Italy,ITA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,432,,,,432,,2010,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,381,Italy,ITA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,45205174,,,,45205174,,5840713,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,400,Jordan,JOR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,114300000,,,,114300000,,13434570,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,404,Kenya,KEN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,315990000,,,,315990000,,37516714,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,410,Rep. of Korea,KOR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,100,,,,100,,32,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,422,Lebanon,LBN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,14206000,,,,14206000,,1750890,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,434,Libya,LBY,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,26250000,,,,26250000,,2808750,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,454,Malawi,MWI,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4000000,,,,4000000,,492000,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,470,Malta,MLT,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2500000,,,,2500000,,282500,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,480,Mauritius,MUS,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,13766000,,,,13766000,,1679298,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,484,Mexico,MEX,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,13,,,,13,,15,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,504,Morocco,MAR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,61455000,,,,61455000,,7089442,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,508,Mozambique,MOZ,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,53516000,,,,53516000,,6466978,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,512,Oman,OMN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,31386000,,,,31386000,,3418719,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,528,Netherlands,NLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,32,,,,32,,136,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,528,Netherlands,NLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1892420,,,,1892420,,280137,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,566,Nigeria,NGA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,60700000,,,,60700000,,6912900,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,600,Paraguay,PRY,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,53976220,,,,53976220,,6598721,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,604,Peru,PER,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,456681092,,,,456681092,,55466764,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,686,Senegal,SEN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,9075000,,,,9075000,,1082400,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,710,South Africa,ZAF,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,27,,,,27,,85,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,710,South Africa,ZAF,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,309039000,,,,309039000,,37295208,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,716,Zimbabwe,ZWE,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,12613000,,,,12613000,,1551399,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,724,Spain,ESP,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,19200,,,,19200,,5973,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,724,Spain,ESP,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,503179,,,,503179,,135901,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,757,Switzerland,CHE,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,640,,,,640,,2662,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,757,Switzerland,CHE,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,3079860,,,,3079860,,744470,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,784,United Arab Emirates,ARE,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,66000000,,,,66000000,,6943200,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,788,Tunisia,TUN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,75728000,,,,75728000,,8410652,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,804,Ukraine,UKR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,52000,,,,52000,,13208,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,818,Egypt,EGY,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,47120000,,,,47120000,,5563350,,,0
