Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,1001,Wheat and meslin,8,Weight in kilograms,312773,312773,260801,0
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,795,Turkmenistan,TKM,1001,Wheat and meslin,8,Weight in kilograms,3420370,3420370,994674,0
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,1001,Wheat and meslin,8,Weight in kilograms,735800,735800,241269,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,254225187,254225187,80995220,0
H4,2013,2013,2013,4,0,2,Export,8,Albania,ALB,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,52100,52100,20011,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,1001,Wheat and meslin,8,Weight in kilograms,820000,820000,318736,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,1001,Wheat and meslin,8,Weight in kilograms,5433800,5433800,1854103,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,191,Croatia,HRV,1001,Wheat and meslin,8,Weight in kilograms,10208600,10208600,3078758,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,24771752,24771752,9725054,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,276,Germany,DEU,1001,Wheat and meslin,8,Weight in kilograms,100,100,127,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,300,Greece,GRC,1001,Wheat and meslin,8,Weight in kilograms,34500,34500,15216,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,348,Hungary,HUN,1001,Wheat and meslin,8,Weight in kilograms,8317690,8317690,2768613,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,997960,997960,397557,0
H4,2013,2013,2013,4,0,2,Export,8,Albania,ALB,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,28100,28100,12374,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,398,Kazakhstan,KAZ,1001,Wheat and meslin,8,Weight in kilograms,6030821,6030821,2080306,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,642,Romania,ROU,1001,Wheat and meslin,8,Weight in kilograms,3027530,3027530,1099880,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,1001,Wheat and meslin,8,Weight in kilograms,165451873,165451873,50352254,0
H4,2013,2013,2013,4,0,1,Import,8,Albania,ALB,688,Serbia,SRB,1001,Wheat and meslin,8,Weight in kilograms,29130561,29130561,9304614,0
H4,2013,2013,2013,4,0,2,Export,8,Albania,ALB,688,Serbia,SRB,1001,Wheat and meslin,8,Weight in kilograms,24000,24000,7637,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,6304734089,6304734089,2123355650,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,1001,Wheat and meslin,8,Weight in kilograms,3575000,3575000,965570,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,124,Canada,CAN,1001,Wheat and meslin,8,Weight in kilograms,642806836,642806836,257538770,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,4707557249,4707557249,1532945368,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,276,Germany,DEU,1001,Wheat and meslin,8,Weight in kilograms,211699137,211699137,71166746,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,287263,287263,307706,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,428,Latvia,LVA,1001,Wheat and meslin,8,Weight in kilograms,143052180,143052180,48317291,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,440,Lithuania,LTU,1001,Wheat and meslin,8,Weight in kilograms,61815000,61815000,21813387,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,484,Mexico,MEX,1001,Wheat and meslin,8,Weight in kilograms,104000130,104000130,39123873,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,616,Poland,POL,1001,Wheat and meslin,8,Weight in kilograms,175632251,175632251,55613744,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,688,Serbia,SRB,1001,Wheat and meslin,8,Weight in kilograms,25400020,25400020,7662232,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,724,Spain,ESP,1001,Wheat and meslin,8,Weight in kilograms,3299835,3299835,1383499,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,752,Sweden,SWE,1001,Wheat and meslin,8,Weight in kilograms,29100700,29100700,10541249,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,804,Ukraine,UKR,1001,Wheat and meslin,8,Weight in kilograms,4445000,4445000,1134377,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,818,Egypt,EGY,1001,Wheat and meslin,8,Weight in kilograms,156800,156800,129147,0
H4,2013,2013,2013,4,0,1,Import,12,Algeria,DZA,842,USA,USA,1001,Wheat and meslin,8,Weight in kilograms,191906688,191906688,74712688,0
H4,2013,2013,2013,4,0,1,Import,20,Andorra,AND,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,42767,42767,16508,0
H4,2013,2013,2013,4,0,1,Import,20,Andorra,AND,724,Spain,ESP,1001,Wheat and meslin,8,Weight in kilograms,42767,42767,16508,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,1451257374,1451257374,395282441,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,191,Croatia,HRV,1001,Wheat and meslin,8,Weight in kilograms,23000,23000,18953,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,268,Georgia,GEO,1001,Wheat and meslin,8,Weight in kilograms,3230450,3230450,1040513,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,1001,Wheat and meslin,8,Weight in kilograms,40000,40000,48754,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,398,Kazakhstan,KAZ,1001,Wheat and meslin,8,Weight in kilograms,849089269,849089269,233654841,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,1001,Wheat and meslin,8,Weight in kilograms,557418205,557418205,145426970,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,1001,Wheat and meslin,8,Weight in kilograms,8282400,8282400,5455677,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,795,Turkmenistan,TKM,1001,Wheat and meslin,8,Weight in kilograms,30366820,30366820,8762540,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,1001,Wheat and meslin,8,Weight in kilograms,807280,807280,284206,0
H4,2013,2013,2013,4,0,1,Import,31,Azerbaijan,AZE,860,Uzbekistan,UZB,1001,Wheat and meslin,8,Weight in kilograms,1999950,1999950,589986,0
H4,2014,2014,2014,4,0,1,Import,8,Albania,ALB,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,141878594,141878594,41253506,0
H4,2014,2014,2014,4,0,1,Import,8,Albania,ALB,191,Croatia,HRV,1001,Wheat and meslin,8,Weight in kilograms,8449660,8449660,2420338,0
H4,2014,2014,2014,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,1510220,1510220,692639,0
H4,2014,2014,2014,4,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,1001,Wheat and meslin,8,Weight in kilograms,98128967,98128967,27821878,0
H4,2014,2014,2014,4,0,1,Import,8,Albania,ALB,688,Serbia,SRB,1001,Wheat and meslin,8,Weight in kilograms,31270175,31270175,9650276,0
H4,2014,2014,2014,4,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,1001,Wheat and meslin,8,Weight in kilograms,2519572,2519572,668375,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,7416999670,7416999670,2372542427,0
H4,2014,2014,2014,4,0,2,Export,12,Algeria,DZA,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,27380,27380,31632,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,36,Australia,AUS,1001,Wheat and meslin,8,Weight in kilograms,115576220,115576220,46913593,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,124,Canada,CAN,1001,Wheat and meslin,8,Weight in kilograms,750020684,750020684,300489462,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,203,Czechia,CZE,1001,Wheat and meslin,8,Weight in kilograms,52496634,52496634,15032394,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,246,Finland,FIN,1001,Wheat and meslin,8,Weight in kilograms,26249999,26249999,8048668,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,4686502348,4686502348,1401473961,0
H4,2014,2014,2014,4,0,2,Export,12,Algeria,DZA,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,27380,27380,31632,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,276,Germany,DEU,1001,Wheat and meslin,8,Weight in kilograms,279804220,279804220,80682050,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,75000,75000,134799,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,422,Lebanon,LBN,1001,Wheat and meslin,8,Weight in kilograms,36,36,1307,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,484,Mexico,MEX,1001,Wheat and meslin,8,Weight in kilograms,782562011,782562011,293770676,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,616,Poland,POL,1001,Wheat and meslin,8,Weight in kilograms,242631538,242631538,69822902,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,724,Spain,ESP,1001,Wheat and meslin,8,Weight in kilograms,30000,30000,11881,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,752,Sweden,SWE,1001,Wheat and meslin,8,Weight in kilograms,160700056,160700056,45545135,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,804,Ukraine,UKR,1001,Wheat and meslin,8,Weight in kilograms,19071375,19071375,4376868,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,818,Egypt,EGY,1001,Wheat and meslin,8,Weight in kilograms,250,250,148,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,1001,Wheat and meslin,8,Weight in kilograms,157035860,157035860,44074054,0
H4,2014,2014,2014,4,0,1,Import,12,Algeria,DZA,842,USA,USA,1001,Wheat and meslin,8,Weight in kilograms,144243440,144243440,62164530,0
H4,2014,2014,2014,4,0,1,Import,20,Andorra,AND,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,24000,24000,8087,0
H4,2014,2014,2014,4,0,1,Import,20,Andorra,AND,724,Spain,ESP,1001,Wheat and meslin,8,Weight in kilograms,24000,24000,8087,0
H4,2014,2014,2014,4,0,1,Import,24,Angola,AGO,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,1553,1553,4558,0
H4,2014,2014,2014,4,0,1,Import,24,Angola,AGO,56,Belgium,BEL,1001,Wheat and meslin,8,Weight in kilograms,523,523,2489,0
H4,2014,2014,2014,4,0,1,Import,24,Angola,AGO,76,Brazil,BRA,1001,Wheat and meslin,8,Weight in kilograms,501,501,483,0
H4,2014,2014,2014,4,0,1,Import,24,Angola,AGO,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,14,14,315,0
H4,2014,2014,2014,4,0,1,Import,24,Angola,AGO,528,Netherlands,NLD,1001,Wheat and meslin,8,Weight in kilograms,252,252,46,0
H4,2014,2014,2014,4,0,1,Import,24,Angola,AGO,620,Portugal,PRT,1001,Wheat and meslin,8,Weight in kilograms,263,263,1225,0
H4,2014,2014,2014,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,1195655743,1195655743,293942817,0
H4,2014,2014,2014,4,0,1,Import,31,Azerbaijan,AZE,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,15270,15270,15020,0
H4,2014,2014,2014,4,0,1,Import,31,Azerbaijan,AZE,398,Kazakhstan,KAZ,1001,Wheat and meslin,8,Weight in kilograms,548107158,548107158,135881666,0
H4,2014,2014,2014,4,0,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,1001,Wheat and meslin,8,Weight in kilograms,1250,1250,2717,0
H4,2014,2014,2014,4,0,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,1001,Wheat and meslin,8,Weight in kilograms,630283515,630283515,148770317,0
H4,2014,2014,2014,4,0,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,1001,Wheat and meslin,8,Weight in kilograms,15223650,15223650,8860617,0
H4,2014,2014,2014,4,0,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,1001,Wheat and meslin,8,Weight in kilograms,2024900,2024900,412480,0
H4,2015,2015,2015,4,0,1,Import,8,Albania,ALB,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,235833190,235833190,55714767,0
H4,2015,2015,2015,4,0,1,Import,8,Albania,ALB,348,Hungary,HUN,1001,Wheat and meslin,8,Weight in kilograms,6647930,6647930,1669220,0
H4,2015,2015,2015,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,1304800,1304800,461654,0
H4,2015,2015,2015,4,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,1001,Wheat and meslin,8,Weight in kilograms,173209449,173209449,39604412,0
H4,2015,2015,2015,4,0,1,Import,8,Albania,ALB,688,Serbia,SRB,1001,Wheat and meslin,8,Weight in kilograms,48333715,48333715,12431846,0
H4,2015,2015,2015,4,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,1001,Wheat and meslin,8,Weight in kilograms,6337296,6337296,1547636,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,8504847618,8504847618,2400320144,0
H4,2015,2015,2015,4,0,2,Export,12,Algeria,DZA,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,11000,11000,4267,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,124,Canada,CAN,1001,Wheat and meslin,8,Weight in kilograms,770230947,770230947,354525289,0
H4,2015,2015,2015,4,0,2,Export,12,Algeria,DZA,124,Canada,CAN,1001,Wheat and meslin,8,Weight in kilograms,11000,11000,4267,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,203,Czechia,CZE,1001,Wheat and meslin,8,Weight in kilograms,142115844,142115844,35163671,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,233,Estonia,EST,1001,Wheat and meslin,8,Weight in kilograms,161544800,161544800,38484576,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,4098728778,4098728778,990179409,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,276,Germany,DEU,1001,Wheat and meslin,8,Weight in kilograms,975787400,975787400,253985076,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,887700,887700,170925,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,428,Latvia,LVA,1001,Wheat and meslin,8,Weight in kilograms,380481400,380481400,92084643,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,440,Lithuania,LTU,1001,Wheat and meslin,8,Weight in kilograms,202776217,202776217,48579840,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,470,Malta,MLT,1001,Wheat and meslin,8,Weight in kilograms,21300,21300,13678,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,484,Mexico,MEX,1001,Wheat and meslin,8,Weight in kilograms,598443528,598443528,252279082,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,616,Poland,POL,1001,Wheat and meslin,8,Weight in kilograms,321329449,321329449,79354015,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,642,Romania,ROU,1001,Wheat and meslin,8,Weight in kilograms,31500000,31500000,7513180,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,699,India,IND,1001,Wheat and meslin,8,Weight in kilograms,31100100,31100100,11017848,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,724,Spain,ESP,1001,Wheat and meslin,8,Weight in kilograms,52487580,52487580,30464862,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,752,Sweden,SWE,1001,Wheat and meslin,8,Weight in kilograms,358843100,358843100,86542057,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,804,Ukraine,UKR,1001,Wheat and meslin,8,Weight in kilograms,106280473,106280473,21276119,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,1001,Wheat and meslin,8,Weight in kilograms,73471880,73471880,17033984,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,842,USA,USA,1001,Wheat and meslin,8,Weight in kilograms,165817989,165817989,75127784,0
H4,2015,2015,2015,4,0,1,Import,12,Algeria,DZA,858,Uruguay,URY,1001,Wheat and meslin,8,Weight in kilograms,32999134,32999134,6524106,0
H4,2015,2015,2015,4,0,1,Import,20,Andorra,AND,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,33975,33975,9170,0
H4,2015,2015,2015,4,0,1,Import,20,Andorra,AND,724,Spain,ESP,1001,Wheat and meslin,8,Weight in kilograms,33975,33975,9170,0
H4,2015,2015,2015,4,0,1,Import,24,Angola,AGO,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,12732,12361,6979,0
H4,2015,2015,2015,4,0,1,Import,24,Angola,AGO,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,1,1,7,0
H4,2015,2015,2015,4,0,1,Import,24,Angola,AGO,620,Portugal,PRT,1001,Wheat and meslin,8,Weight in kilograms,11511,11511,5785,0
H4,2015,2015,2015,4,0,1,Import,24,Angola,AGO,724,Spain,ESP,1001,Wheat and meslin,8,Weight in kilograms,1200,829,1138,0
H4,2015,2015,2015,4,0,1,Import,24,Angola,AGO,784,United Arab Emirates,ARE,1001,Wheat and meslin,8,Weight in kilograms,20,20,47,0
H4,2015,2015,2015,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,1353071680,1353071680,296831037,0
H4,2015,2015,2015,4,0,1,Import,31,Azerbaijan,AZE,40,Austria,AUT,1001,Wheat and meslin,8,Weight in kilograms,1080,1080,8284,0
H4,2015,2015,2015,4,0,1,Import,31,Azerbaijan,AZE,398,Kazakhstan,KAZ,1001,Wheat and meslin,8,Weight in kilograms,100341700,100341700,22175466,0
H4,2015,2015,2015,4,0,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,1001,Wheat and meslin,8,Weight in kilograms,1234626900,1234626900,268311586,0
H4,2015,2015,2015,4,0,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,1001,Wheat and meslin,8,Weight in kilograms,18102000,18102000,6335700,0
H3,2011,2011,2011,4,0,1,Import,8,Albania,ALB,0,World,WLD,1001,Wheat and meslin.,8,Weight in kilograms,305943857,305943857,107016223,0
H3,2011,2011,2011,4,0,2,Export,8,Albania,ALB,0,World,WLD,1001,Wheat and meslin.,8,Weight in kilograms,87360,87360,35992,0
H3,2011,2011,2011,4,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,1001,Wheat and meslin.,8,Weight in kilograms,100560,100560,38470,0
H3,2011,2011,2011,4,0,1,Import,8,Albania,ALB,156,China,CHN,1001,Wheat and meslin.,8,Weight in kilograms,13,13,38,0
