Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,272705270,272705270,88759646,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,70,Bosnia Herzegovina,BIH,1001,Wheat and meslin,8,Weight in kilograms,1603128,1603128,555803,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,100,Bulgaria,BGR,1001,Wheat and meslin,8,Weight in kilograms,6277900,6277900,2034917,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,156,China,CHN,1001,Wheat and meslin,8,Weight in kilograms,9,9,20,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,191,Croatia,HRV,1001,Wheat and meslin,8,Weight in kilograms,15241650,15241650,5030759,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,25177840,25177840,8701580,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,300,Greece,GRC,1001,Wheat and meslin,8,Weight in kilograms,70180,70180,25035,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,348,Hungary,HUN,1001,Wheat and meslin,8,Weight in kilograms,632000,632000,216969,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,2375108,2375108,1123043,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,398,Kazakhstan,KAZ,1001,Wheat and meslin,8,Weight in kilograms,8260257,8260257,2603365,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,643,Russian Federation,RUS,1001,Wheat and meslin,8,Weight in kilograms,208548600,208548600,67123617,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,688,Serbia,SRB,1001,Wheat and meslin,8,Weight in kilograms,1415280,1415280,460595,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,792,Turkey,TUR,1001,Wheat and meslin,8,Weight in kilograms,1800,1800,687,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,804,Ukraine,UKR,1001,Wheat and meslin,8,Weight in kilograms,3077018,3077018,872966,0
H4,2012,2012,2012,4,0,1,Import,8,Albania,ALB,807,North Macedonia,MKD,1001,Wheat and meslin,8,Weight in kilograms,24500,24500,10290,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,6347231326,6347231326,2129040969,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,32,Argentina,ARG,1001,Wheat and meslin,8,Weight in kilograms,567480415,567480415,159661757,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,76,Brazil,BRA,1001,Wheat and meslin,8,Weight in kilograms,130709000,130709000,38375878,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,124,Canada,CAN,1001,Wheat and meslin,8,Weight in kilograms,1003815220,1003815220,419935149,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,203,Czechia,CZE,1001,Wheat and meslin,8,Weight in kilograms,3269664,3269664,872972,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,233,Estonia,EST,1001,Wheat and meslin,8,Weight in kilograms,27130000,27130000,9437519,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,3243665064,3243665064,1045772965,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,276,Germany,DEU,1001,Wheat and meslin,8,Weight in kilograms,101310887,101310887,31682274,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,47434317,47434317,19443212,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,428,Latvia,LVA,1001,Wheat and meslin,8,Weight in kilograms,107306813,107306813,37914897,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,440,Lithuania,LTU,1001,Wheat and meslin,8,Weight in kilograms,74449500,74449500,26478692,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,484,Mexico,MEX,1001,Wheat and meslin,8,Weight in kilograms,188863333,188863333,75061656,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,616,Poland,POL,1001,Wheat and meslin,8,Weight in kilograms,83999600,83999600,30091515,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,642,Romania,ROU,1001,Wheat and meslin,8,Weight in kilograms,5500000,5500000,1469358,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,752,Sweden,SWE,1001,Wheat and meslin,8,Weight in kilograms,31600000,31600000,11414221,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,804,Ukraine,UKR,1001,Wheat and meslin,8,Weight in kilograms,5640306,5640306,1574626,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,818,Egypt,EGY,1001,Wheat and meslin,8,Weight in kilograms,80000,80000,54980,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,1001,Wheat and meslin,8,Weight in kilograms,107080780,107080780,31910274,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,842,USA,USA,1001,Wheat and meslin,8,Weight in kilograms,310830947,310830947,103334580,0
H4,2012,2012,2012,4,0,1,Import,12,Algeria,DZA,858,Uruguay,URY,1001,Wheat and meslin,8,Weight in kilograms,307065480,307065480,84554444,0
H4,2012,2012,2012,4,0,1,Import,20,Andorra,AND,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,58760,58760,23259,0
H4,2012,2012,2012,4,0,1,Import,20,Andorra,AND,724,Spain,ESP,1001,Wheat and meslin,8,Weight in kilograms,58760,58760,23259,0
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,1001,Wheat and meslin,8,Weight in kilograms,1320316744,1320316744,329958190,0
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,191,Croatia,HRV,1001,Wheat and meslin,8,Weight in kilograms,20000,20000,21382,0
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,1001,Wheat and meslin,8,Weight in kilograms,2000,2000,5132,0
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,364,Iran,IRN,1001,Wheat and meslin,8,Weight in kilograms,2579160,2579160,337448,0
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,398,Kazakhstan,KAZ,1001,Wheat and meslin,8,Weight in kilograms,1057312528,1057312528,246122251,0
H4,2012,2012,2012,4,0,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,1001,Wheat and meslin,8,Weight in kilograms,255934113,255934113,81975234,0
