Classification,Year,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2021,4,0,1,Import,31,Azerbaijan,AZE,40,Austria,AUT,1001,Wheat and meslin,8,Weight in kilograms,22096,22096,221549,0
H5,2021,4,0,1,Import,31,Azerbaijan,AZE,251,France,FRA,1001,Wheat and meslin,8,Weight in kilograms,10800,10800,16291,0
H5,2021,4,0,1,Import,31,Azerbaijan,AZE,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,100,100,383,0
H5,2021,4,0,2,Export,31,Azerbaijan,AZE,392,Japan,JPN,1001,Wheat and meslin,8,Weight in kilograms,2,2,12,0
H5,2021,4,0,1,Import,31,Azerbaijan,AZE,398,Kazakhstan,KAZ,1001,Wheat and meslin,8,Weight in kilograms,52746800,52746800,15850598,0
H5,2021,4,0,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,1001,Wheat and meslin,8,Weight in kilograms,1094237200,1094237200,315191716,0
H5,2021,4,0,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,1001,Wheat and meslin,8,Weight in kilograms,1084185,1084185,665467,0
H5,2021,4,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,1001,Wheat and meslin,8,Weight in kilograms,82500000,82500000,24635719,0
H5,2021,4,0,2,Export,36,Australia,AUS,50,Bangladesh,BGD,1001,Wheat and meslin,8,Weight in kilograms,451240600,451240600,129157840,0
H5,2021,4,0,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,1001,Wheat and meslin,8,Weight in kilograms,13167680,13167680,3225791,0
H5,2021,4,0,2,Export,36,Australia,AUS,104,Myanmar,MMR,1001,Wheat and meslin,8,Weight in kilograms,373348500,373348500,106223290,0
H5,2021,4,0,2,Export,36,Australia,AUS,108,Burundi,BDI,1001,Wheat and meslin,8,Weight in kilograms,23541000,23541000,7000752,0
H5,2021,4,0,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,1001,Wheat and meslin,8,Weight in kilograms,577683100,577683100,149789761,0
H5,2021,4,0,2,Export,36,Australia,AUS,156,China,CHN,1001,Wheat and meslin,8,Weight in kilograms,2943393260,2943393260,880666977,0
H5,2021,4,0,2,Export,36,Australia,AUS,242,Fiji,FJI,1001,Wheat and meslin,8,Weight in kilograms,169735780,169735780,45441417,0
H5,2021,4,0,2,Export,36,Australia,AUS,258,French Polynesia,PYF,1001,Wheat and meslin,8,Weight in kilograms,625280,625280,338075,0
H5,2021,4,0,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,1001,Wheat and meslin,8,Weight in kilograms,1074830,1074830,429100,0
H5,2021,4,0,2,Export,36,Australia,AUS,360,Indonesia,IDN,1001,Wheat and meslin,8,Weight in kilograms,4938500110,4938500110,1322206630,0
H5,2021,4,0,1,Import,36,Australia,AUS,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,2307,2307,5715,0
H5,2021,4,0,2,Export,36,Australia,AUS,381,Italy,ITA,1001,Wheat and meslin,8,Weight in kilograms,464616400,464616400,154223882,0
H5,2021,4,0,2,Export,36,Australia,AUS,392,Japan,JPN,1001,Wheat and meslin,8,Weight in kilograms,1216260600,1216260600,342329462,0
H5,2021,4,0,1,Import,36,Australia,AUS,400,Jordan,JOR,1001,Wheat and meslin,8,Weight in kilograms,1512,1512,2998,0
H5,2021,4,0,2,Export,36,Australia,AUS,404,Kenya,KEN,1001,Wheat and meslin,8,Weight in kilograms,508219600,508219600,132770159,0
H5,2021,4,0,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,1001,Wheat and meslin,8,Weight in kilograms,1133738280,1133738280,311250701,0
H5,2021,4,0,2,Export,36,Australia,AUS,414,Kuwait,KWT,1001,Wheat and meslin,8,Weight in kilograms,440514600,440514600,132726677,0
H5,2021,4,0,2,Export,36,Australia,AUS,418,Lao People's Dem. Rep.,LAO,1001,Wheat and meslin,8,Weight in kilograms,2010020,2010020,539291,0
H5,2021,4,0,1,Import,36,Australia,AUS,422,Lebanon,LBN,1001,Wheat and meslin,8,Weight in kilograms,200,200,1365,0
H5,2021,4,0,2,Export,36,Australia,AUS,450,Madagascar,MDG,1001,Wheat and meslin,8,Weight in kilograms,32307000,32307000,9005364,0
H5,2021,4,0,2,Export,36,Australia,AUS,454,Malawi,MWI,1001,Wheat and meslin,8,Weight in kilograms,113250000,113250000,31685923,0
H5,2021,4,0,2,Export,36,Australia,AUS,458,Malaysia,MYS,1001,Wheat and meslin,8,Weight in kilograms,1151033460,1151033460,318827457,0
H5,2021,4,0,2,Export,36,Australia,AUS,480,Mauritius,MUS,1001,Wheat and meslin,8,Weight in kilograms,63170,63170,37563,0
H5,2021,4,0,2,Export,36,Australia,AUS,490,"Other Asia, nes",,1001,Wheat and meslin,8,Weight in kilograms,282394260,282394260,85850196,0
H5,2021,4,0,2,Export,36,Australia,AUS,508,Mozambique,MOZ,1001,Wheat and meslin,8,Weight in kilograms,284279600,284279600,76954507,0
H5,2021,4,0,2,Export,36,Australia,AUS,512,Oman,OMN,1001,Wheat and meslin,8,Weight in kilograms,75584580,75584580,20103811,0
H5,2021,4,0,2,Export,36,Australia,AUS,540,New Caledonia,NCL,1001,Wheat and meslin,8,Weight in kilograms,29851560,29851560,8722910,0
