Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,27880959,,,,27880959,,8080554,,,0
H4,2016,2016,2016,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4554789630,,,,4554789630,,791515598,,,0
H4,2016,2016,2016,4,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,34269744,,,,34269744,,9304216,,,0
H4,2016,2016,2016,4,0,4,Re-Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,18500,,,,18500,,29581,,,0
H4,2016,2016,2016,4,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,66281090,,,,66281090,,16291279,,,0
H4,2016,2016,2016,4,0,2,Export,108,Burundi,BDI,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,500,,,,500,,76,,,0
H4,2016,2016,2016,4,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,281037,,,,281037,,202900,,,0
H4,2016,2016,2016,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,91658341,,,,91658341,,11986200,,,0
H4,2016,2016,2016,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,27665681,,,,27665681,,7269768,,,0
H4,2016,2016,2016,4,0,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,616675521,,,,616675521,,153144236,,,0
H4,2016,2016,2016,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,115112000,,,,,,33027697,,,0
H4,2016,2016,2016,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,19702374000,,,,0,,4501745116,,,0
H4,2016,2016,2016,4,0,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,439000,,,,0,,344749,,,0
H4,2016,2016,2016,4,0,4,Re-Import,124,Canada,CAN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,749000,,,,,,301066,,,0
H4,2016,2016,2016,4,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,21876980,,,,21876980,,4560636,,,0
H4,2016,2016,2016,4,0,1,Import,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,949692867,,,,949692867,,230172293,,,6
H4,2016,2016,2016,4,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,3870948,,,,3870948,,1100011,,,0
H4,2016,2016,2016,4,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,887791859,,,,887791859,,192531543,,,6
H4,2016,2016,2016,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,81342,,,,81342,,33065,,,6
H4,2016,2016,2016,4,0,4,Re-Import,152,Chile,CHL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,9674960,,,,9674960,,2046686,,,0
H4,2016,2016,2016,4,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,3442155448,,,,3442155448,,801026485,,,6
H4,2016,2016,2016,4,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,18576868,,,,18576868,,3355628,,,6
H4,2016,2016,2016,4,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2095561574,,,,2095561574,,460481123,,,0
H4,2016,2016,2016,4,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,100,,,,100,,129,,,0
H4,2016,2016,2016,4,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,79254090,,,,79254090,,22833202,,,0
H4,2016,2016,2016,4,0,1,Import,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,426513714,,,,426513714,,105401145,,,0
H4,2016,2016,2016,4,0,1,Import,188,Costa Rica,CRI,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,266944976,,,,266944976,,67107107,,,0
H4,2016,2016,2016,4,0,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,168,,,,168,,981,,,0
H4,2016,2016,2016,4,0,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,64028974,,,,64028974,,11504018,,,0
H4,2016,2016,2016,4,0,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,428508084,,,,428508084,,72785637,,,0
H4,2016,2016,2016,4,0,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,105185938,,,,105185938,,22985976,,,0
H4,2016,2016,2016,4,0,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1000,,,,1000,,707,,,0
H4,2016,2016,2016,4,0,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,42667395,,,,42667395,,8820360,,,0
H4,2016,2016,2016,4,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2996394701,,,,2996394701,,495638320,,,6
H4,2016,2016,2016,4,0,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,233364402,,,,233364402,,55789979,,,0
