Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2001,2001,2001,4,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,180373174,,,,180373174,,21853563,,,0
H1,2001,2001,2001,4,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4537999587,,,,4537999587,,723130843,,,0
H1,2001,2001,2001,4,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,107330,,,,107330,,17090,,,0
H1,2001,2001,2001,4,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,615140498,,,,615140498,,69410888,,,0
H1,2001,2001,2001,4,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,142366,,,,142366,,73931,,,0
H1,2001,2001,2001,4,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,10789975557,,,,10789975557,,1301503366,,,0
H1,2001,2001,2001,4,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,21062,,,,21062,,8798,,,0
H1,2001,2001,2001,4,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,23269380300,,,,23269380300,,2236149169,,,6
H1,2001,2001,2001,4,0,4,Re-Import,36,Australia,AUS,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,20988,,,,20988,,7758,,,0
H1,2001,2001,2001,4,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,129526138,,,,129526138,,16103663,,,6
H1,2001,2001,2001,4,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,510735100,,,,510735100,,79275145,,,0
H1,2001,2001,2001,4,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,4406,,,,4406,,18931,,,0
H1,2001,2001,2001,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,294959958,,,,294959958,,42390716,,,0
H1,2001,2001,2001,4,0,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,31812878,,,,31812878,,4537093,,,0
H1,2001,2001,2001,4,0,2,Export,52,Barbados,BRB,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,392439,,,,392439,,53900,,,0
H1,2001,2001,2001,4,0,3,Re-Export,52,Barbados,BRB,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,392439,,,,392439,,53900,,,0
H1,2001,2001,2001,4,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,3174766803,,,,3174766803,,378976002,,,0
H1,2001,2001,2001,4,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,487590961,,,,487590961,,61260959,,,0
H1,2001,2001,2001,4,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,238638151,,,,238638151,,36427597,,,0
H1,2001,2001,2001,4,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,24284,,,,24284,,29121,,,0
H1,2001,2001,2001,4,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,2609160,,,,2609160,,2573943,,,0
H1,2001,2001,2001,4,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,66970,,,,66970,,11090,,,0
H1,2001,2001,2001,4,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,6999028119,,,,7011798829,,976933552,,,0
H1,2001,2001,2001,4,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,797582,,,,803473,,151254,,,0
H1,2001,2001,2001,4,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,41937351,,,,41937351,,5333028,,,0
H1,2001,2001,2001,4,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1575778,,,,1575778,,2997196,,,0
H1,2001,2001,2001,4,0,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,36589169,,,,36589169,,37729851,,,0
H1,2001,2001,2001,4,0,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,108000,,,,108000,,32940,,,0
H1,2001,2001,2001,4,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,401630439,,,,401630439,,44899700,,,0
H1,2001,2001,2001,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,227916,,,,227916,,46800,,,0
H1,2001,2001,2001,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1210000,,,,1210000,,121373,,,0
H1,2001,2001,2001,4,0,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,263096819,,,,263096819,,54728952,,,0
H1,2001,2001,2001,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,101398,,,,101398,,13418883,,,0
