Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
174;Tim Frazier;PG;31;CLE;2;0;4;0.5;1;0.5;0;0;0;0.5;1;0.5;0.5;0;0;0;0;0;0;0.5;0;0;1;1.5;1
175;Enes Freedom;C;29;BOS;35;1;11.7;1.5;2.8;0.526;0.1;0.1;0.4;1.4;2.6;0.533;0.536;0.7;0.8;0.857;1.7;2.8;4.6;0.2;0.1;0.4;0.6;1.2;3.7
176;Markelle Fultz;PG;23;ORL;7;0;17.7;3.6;7.4;0.481;0.3;0.9;0.333;3.3;6.6;0.5;0.5;1.9;2.4;0.765;0.4;2.3;2.7;5.1;0.9;0.4;1.7;1.6;9.3
177;Wenyen Gabriel;PF;24;TOT;13;0;8.6;1;3;0.333;0.3;1.2;0.267;0.7;1.8;0.375;0.385;0.8;1.3;0.588;1.2;1.8;2.9;0.4;0.2;0.2;0.4;1.8;3.1
177;Wenyen Gabriel;PF;24;BRK;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
177;Wenyen Gabriel;PF;24;LAC;6;0;7.7;0.8;2.2;0.385;0.3;0.8;0.4;0.5;1.3;0.375;0.462;0.3;0.7;0.5;0.8;1.5;2.3;0.3;0.2;0.3;0.5;1.8;2.3
177;Wenyen Gabriel;PF;24;LAL;6;0;10.8;1.3;4.3;0.308;0.3;1.7;0.2;1;2.7;0.375;0.346;1.3;2.2;0.615;1.7;2.2;3.8;0.5;0.2;0.2;0.3;2.2;4.3
178;Daniel Gafford;C;23;WAS;59;51;20.3;3.9;5.7;0.684;0;0;0;3.9;5.7;0.684;0.684;1.4;1.9;0.714;2.3;3.5;5.8;1;0.4;1.5;0.9;2.4;9.1
179;Danilo Gallinari;PF;33;ATL;57;11;24.3;3.5;8.3;0.423;1.6;4.2;0.387;1.9;4.2;0.46;0.52;2.2;2.5;0.9;0.5;4;4.5;1.4;0.5;0.2;0.6;1.5;10.9
180;Langston Galloway;SG;30;TOT;7;0;15.3;0.9;3.7;0.231;0.3;2.3;0.125;0.6;1.4;0.4;0.269;0;0;0;0.4;2.1;2.6;1.7;0.1;0;0.9;1;2
180;Langston Galloway;SG;30;BRK;4;0;14.5;1.3;3.3;0.385;0.5;2;0.25;0.8;1.3;0.6;0.462;0;0;0;0.3;1.8;2;1.3;0;0;1.3;1.3;3
180;Langston Galloway;SG;30;MIL;3;0;16.3;0.3;4.3;0.077;0;2.7;0;0.3;1.7;0.2;0.077;0;0;0;0.7;2.7;3.3;2.3;0.3;0;0.3;0.7;0.7
181;Darius Garland;PG;22;CLE;55;55;35.2;7.9;16.8;0.468;2.6;6.8;0.377;5.3;10;0.53;0.544;2.9;3.1;0.913;0.6;2.8;3.4;8.3;1.2;0.1;3.9;1.8;21.2
182;Marcus Garrett;SG;23;MIA;12;0;10.7;0.4;1.8;0.238;0.1;0.3;0.25;0.3;1.4;0.235;0.262;0.2;0.4;0.4;0.8;1.2;1.9;0.6;0.4;0.3;0.2;1.3;1.1
183;Usman Garuba;PF;19;HOU;16;0;7;0.6;1.6;0.36;0.2;0.9;0.214;0.4;0.7;0.545;0.42;0.1;0.1;0.5;0.6;1.8;2.3;0.5;0.5;0.4;0.3;0.6;1.4
184;Luka Garza;C;23;DET;30;5;11.4;1.9;4.2;0.448;0.5;1.4;0.341;1.4;2.8;0.5;0.504;1;1.5;0.659;1.7;1.3;2.9;0.5;0.3;0.1;0.6;1.6;5.2
185;Rudy Gay;PF;35;UTA;45;1;18.8;2.7;6.9;0.395;1.3;3.8;0.335;1.5;3.1;0.468;0.487;1.3;1.6;0.784;1;3.3;4.3;1;0.5;0.3;0.9;1.8;8
186;Paul George;SF;31;LAC;26;26;35.5;9;21.4;0.421;2.7;8.3;0.323;6.3;13;0.484;0.484;4;4.5;0.88;0.4;6.7;7.1;5.5;2;0.4;4.2;2.5;24.7
187;Taj Gibson;C;36;NYK;44;4;17.9;1.6;2.9;0.539;0.2;0.5;0.391;1.4;2.4;0.571;0.574;0.7;0.9;0.775;1.7;2.7;4.4;0.6;0.4;0.8;0.5;2.8;4
188;Josh Giddey;SG;19;OKC;54;54;31.5;5.2;12.4;0.419;1;3.9;0.263;4.2;8.5;0.492;0.461;1;1.5;0.709;1.8;6;7.8;6.4;0.9;0.4;3.2;1.6;12.5
189;Shai Gilgeous-Alexander;PG;23;OKC;54;54;34.7;8.4;18.7;0.45;1.6;5.4;0.291;6.9;13.4;0.513;0.491;5.9;7.3;0.81;0.7;4.3;5;5.9;1.3;0.8;2.8;2.5;24.3
190;Anthony Gill;PF;29;WAS;33;0;8.1;1.2;1.9;0.603;0.3;0.5;0.6;0.9;1.5;0.604;0.675;0.7;1;0.727;0.6;0.8;1.5;0.5;0.1;0.2;0.3;1.3;3.3
191;Freddie Gillespie;PF;24;ORL;9;2;13.2;1;2.4;0.409;0;0.1;0;1;2.3;0.429;0.409;0.3;0.8;0.429;1.4;2.6;4;0.6;0.3;1;0.6;2;2.3
192;Rudy Gobert;C;29;UTA;54;54;32;5.5;7.8;0.711;0;0;0;5.5;7.7;0.715;0.711;4.4;6.4;0.69;3.6;11.2;14.8;1.1;0.7;2.2;1.8;2.7;15.4
193;Brandon Goodwin;PG;26;CLE;26;5;15.9;2;5;0.411;0.7;1.9;0.347;1.4;3.1;0.45;0.477;0.6;1;0.615;0.5;1.8;2.3;3.3;0.9;0;1;1.2;5.3
194;Jordan Goodwin;SG;23;WAS;2;0;3;0;1.5;0;0;0.5;0;0;1;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0.5;0
195;Aaron Gordon;PF;26;DEN;64;64;31.3;5.5;10.8;0.509;1.1;3.5;0.315;4.4;7.4;0.601;0.56;2.2;3;0.738;1.6;4;5.6;2.5;0.6;0.6;1.7;1.9;14.3
