Country,Year,Area Harvested,Production,Imports,Beginning Stocks,Domestic Consumption,Feed Dom. Consumption,Exports,Ending Stocks
Armenia,2001/2002,214224,583871,106234,206051,587076,111942,105783,203297
Armenia,2000/2001,215340,582787,99344,209072,583957,109846,101195,206051
Armenia,1999/2000,212644,587450,106718,209294,580955,104644,113435,209072
Armenia,1998/1999,219163,590470,99635,197915,577407,109446,101319,209294
Armenia,1997/1998,226370,610176,103533,164389,575783,106188,104400,197915
Armenia,1996/1997,227070,581286,98254,155786,563994,101392,106943,164389
Armenia,1995/1996,216712,537498,97188,163921,543624,96912,99197,155786
Armenia,1994/1995,213327,523121,99877,182663,543525,102954,98215,163921
Armenia,1993/1994,221030,558555,98561,176731,547467,110966,103717,182663
Armenia,1992/1993,222190,562668,108810,160984,545692,112784,110039,176731
Armenia,1991/1992,222783,543437,108361,170884,551450,117215,109948,161284
Armenia,1990/1991,230990,588798,99003,136584,549658,132534,103843,170884
Armenia,1989/1990,226298,533110,98797,134750,526654,105248,103419,136584
Armenia,1988/1989,217842,495264,102384,158789,516536,105271,105151,134750
Armenia,1987/1988,220038,498674,112247,190882,531449,115241,111565,158789
Armenia,1986/1987,227848,524043,86488,178435,508810,114907,89274,190882
Armenia,1985/1986,229788,494802,80505,168405,482825,98755,82452,178435
Armenia,1984/1985,231643,508908,101573,145780,484210,101533,103646,168405
Armenia,1983/1984,229918,484451,97994,130131,464999,96998,101794,145780
Armenia,1982/1983,238353,472739,93230,112632,447737,93948,100949,130131
Armenia,1981/1982,238911,444995,97042,112642,441671,91662,100376,112632
Armenia,1980/1981,236901,435867,89496,120453,443448,91710,90126,112642
Armenia,1979/1980,227830,417542,82242,134848,428576,94948,85603,120453
Armenia,1978/1979,228902,438942,68676,109207,405214,90757,76763,134848
Armenia,1977/1978,227156,377844,69904,127352,398984,86271,66909,109207
Armenia,1976/1977,233072,414348,59598,86720,369481,69230,63833,127352
Armenia,1975/1976,225338,352647,66406,81353,346796,63534,66891,86719
Armenia,1974/1975,220026,355226,58422,82667,353328,72816,61634,81353
Armenia,1973/1974,217030,366069,59119,74928,351582,70037,65867,82667
